artist,date,time,city,title,type
丁辉,2019-06-20,19:30,上海,幺幺洞捌,stage
廖昌永,2019-11-22,19:30,上海,冬日怀旧,concert
金圣权,2019-12-21,19:00,杭州,如响应声,concert
金圣权,2019-12-31,19:30,北京,凯旋之夜,concert
梁朋杰,2019-12-28,19:30,上海,音乐之声,stage
龚子棋,2019-04-28,19:30,上海,信,stage
马佳,2019-05-03,19:30,成都,保利ART音乐节,concert
金圣权,2019-11-28,19:30,上海,帅小伙的蔬果店,stage
王晰,2019-12-27,19:30,清远,2019遇见5G咪咕和TA的朋友,concert
丁辉,2019-09-27,19:30,上海,暗恋桃花源,stage
郑云龙,2019-08-07,19:30,上海,漫长的告白,stage
郑云龙,2019-04-14,14:30,上海,信,stage
方书剑,2019-08-31,19:30,成都,信,stage
金天泽,2019-05-09,19:30,武汉,声入人心巡演,concert
方书剑,2019-08-07,19:30,北京,我的遗愿清单,stage
王晰,2019-08-16,19:30,北京,Cherish珍晰,concert
黄子弘凡,2019-07-21,19:30,北京,你眼里的蓝,concert
周深,2019-11-16,19:30,南京,C-929星球,concert
高天鹤,2019-07-24,21:20,长沙,芒果音乐节,concert
洪之光,2019-06-17,19:30,太原,高雅艺术进校园,concert
方书剑,2019-04-18,19:30,上海,信,stage
方书剑,2019-07-24,19:30,青岛,我的遗愿清单,stage
郑云龙,2019-01-17,19:30,上海,谋杀歌谣,stage
阿云嘎,2019-07-17,19:30,南京,我们剧场见(GALA),concert
金天泽,2019-12-31,21:45,澳门,除夕音乐派对,concert
郑云龙,2019-03-10,14:00,北京,谋杀歌谣,stage
郑云龙,2019-03-10,19:30,北京,谋杀歌谣,stage
代玮,2019-05-07,19:30,合肥,声入人心巡演,concert
高杨,2019-07-04,19:30,北京,长腿叔叔,stage
黄子弘凡,2019-08-11,19:30,杭州,你眼里的蓝,concert
马佳,2019-05-05,19:30,常州,声入人心巡演,concert
余笛,2019-10-16,19:30,上海,温可铮教授90诞辰纪念音乐会,concert
阿云嘎,2019-10-04,19:30,上海,威尼斯商人,stage
黄子弘凡,2019-08-25,20:00,深圳,你眼里的蓝,concert
李琦,2019-09-17,16:00,北京,七彩华夏声在中国,concert
余笛,2019-12-26,19:30,上海,火焰,stage
简弘亦,2019-05-24,20:00,郑州,冰淇淋音乐节,concert
郑云龙,2019-11-01,19:30,上海,摇滚年代,stage
王晰,2019-09-30,19:30,上海,凡之声,concert
洪之光,2019-06-22,19:00,南昌,高雅艺术进校园,concert
阿云嘎,2019-08-08,19:00,上海,88群星盛典,concert
贾凡,2019-11-17,19:30,诸暨,保利ART音乐盛典,concert
马佳,2019-06-22,19:00,长沙,梅溪音乐节,concert
丁辉,2019-06-27,19:30,上海,幺幺洞捌,stage
仝卓,2019-12-31,19:30,海口,跨年演唱会,concert
丁辉,2019-07-06,19:30,北京,长腿叔叔,stage
郑云龙,2019-04-16,19:30,北京,声入人心巡演,concert
陈博豪,2019-08-03,19:30,成都,你眼里的蓝,concert
鞠红川,2019-05-09,19:30,武汉,声入人心巡演,concert
余笛,2019-12-27,19:30,上海,火焰,stage
郑云龙,2019-09-13,14:00,北京,德龄与慈禧,stage
方书剑,2019-12-15,19:30,佛山,我的遗愿清单,stage
马佳,2019-05-31,19:30,宁波,声入人心巡演,concert
丁辉,2019-06-29,19:30,上海,幺幺洞捌,stage
郑云龙,2019-09-22,14:00,上海,德龄与慈禧,stage
廖佳琳,2019-07-27,19:30,长沙,亦X不染,concert
廖佳琳,2019-05-31,19:30,宁波,声入人心巡演,concert
王晰,2019-01-20,20:00,北京,深空间,concert
简弘亦,2019-09-30,19:30,长沙,省会大学生文艺汇演,concert
贾凡,2019-05-07,19:30,合肥,声入人心巡演,concert
方书剑,2019-04-12,19:30,上海,信,stage
方书剑,2019-08-10,14:30,深圳,信,stage
龚子棋,2019-04-26,19:30,上海,信,stage
丁辉,2019-10-06,14:30,上海,暗恋桃花源,stage
简弘亦,2019-08-24,19:30,长春,声动春城,concert
梁朋杰,2019-12-01,14:30,上海,帅小伙的蔬果店,stage
蔡程昱,2019-05-11,19:30,长沙,声入人心巡演,concert
王凯,2019-08-25,19:30,长春,声动春城,concert
金天泽,2019-07-27,19:30,长沙,亦X不染,concert
高天鹤,2019-04-18,19:30,天津,声入人心巡演,concert
郑云龙,2019-04-14,19:30,上海,信,stage
梁朋杰,2019-12-26,19:30,上海,音乐之声,stage
简弘亦,2019-09-27,19:30,北京,亦X不染,concert
刘彬濠,2019-01-13,20:00,广州,记忆乡愁,concert
王凯,2019-10-14,19:40,北京,庆祝新中国成立70周年国家大剧院合唱团专场演出,concert
鞠红川,2019-05-07,19:30,合肥,声入人心巡演,concert
丁辉,2019-03-02,14:30,上海,暗恋桃花源,stage
梁朋杰,2019-08-24,19:30,广州,你眼里的蓝,concert
周深,2019-10-12,19:30,长沙,万科献礼新中国成立七十周年文艺盛典,concert
黄子弘凡,2019-03-25,22:00,波士顿,郑俊树音乐会,concert
王晰,2019-09-07,19:30,成都,人生首席,concert
简弘亦,2019-04-22,19:30,上海,亦X不染,concert
阿云嘎,2019-10-07,14:30,上海,威尼斯商人,stage
金天泽,2019-08-02,19:30,重庆,你眼里的蓝,concert
王晰,2019-06-08,19:30,北京,你眼里的蓝,concert
金天泽,2019-08-18,19:30,北京,你眼里的蓝,concert
李文豹,2019-10-12,19:30,北京,邂逅回忆,concert
廖佳琳,2019-04-12,19:00,长春,声动春城,concert
郑云龙,2019-08-11,14:00,上海,漫长的告白,stage
陆宇鹏,2019-10-19,19:30,上海,音乐之声,stage
蔡尧,2019-01-13,20:00,广州,记忆乡愁,concert
高杨,2019-08-14,19:30,上海,你眼里的蓝,concert
王凯,2019-05-03,19:30,北京,国家大剧院驻院歌剧演员音乐会,concert
丁辉,2019-03-01,19:30,上海,暗恋桃花源,stage
简弘亦,2019-08-25,19:30,长春,声动春城,concert
廖佳琳,2019-09-07,19:30,成都,人生首席,concert
翟李朔天,2019-05-05,19:30,深圳,深夜食堂,stage
陈博豪,2019-08-13,19:30,上海,你眼里的蓝,concert
黄子弘凡,2019-05-26,19:30,无锡,声入人心巡演,concert
高杨,2019-07-08,19:30,广州,我们剧场见(GALA),concert
金圣权,2019-08-25,20:00,深圳,你眼里的蓝,concert
王凯,2019-04-24,19:30,沈阳,声入人心巡演,concert
高杨,2019-06-29,14:00,上海,长腿叔叔,stage
阿云嘎,2019-07-03,19:30,深圳,我们剧场见(GALA),concert
王晰,2019-11-29,20:00,珠海,Cherish珍晰,concert
金圣权,2019-09-25,21:30,纽约,KISS BEFORE SUNRISE,concert
郑云龙,2019-04-20,19:30,上海,信,stage
贾凡,2019-05-20,19:30,杭州,声入人心巡演,concert
廖昌永,2019-11-24,19:30,广州,我爱你，中国,concert
丁辉,2019-10-12,19:30,上海,暗恋桃花源,stage
马佳,2019-12-28,19:30,深圳,文化进万家,concert
马佳,2019-09-07,19:30,聊城,华韵盛典,concert
代玮,2019-05-20,19:30,杭州,声入人心巡演,concert
王凯,2019-04-18,19:30,天津,声入人心巡演,concert
郑云龙,2019-12-31,19:30,上海,梦圆东方2020跨年盛典,concert
李琦,2019-11-08,19:45,西安,保利ART音乐节,concert
高杨,2019-05-14,19:30,重庆,声入人心巡演,concert
郑云龙,2019-09-19,19:30,上海,德龄与慈禧,stage
翟李朔天,2019-11-23,19:30,重庆,声入山城,concert
马佳,2019-06-09,19:30,石家庄,你眼里的蓝,concert
丁辉,2019-10-05,19:30,上海,暗恋桃花源,stage
贾凡,2019-05-31,19:30,宁波,声入人心巡演,concert
金天泽,2019-04-30,19:30,武汉,亦X不染,concert
仝卓,2019-05-03,19:30,成都,保利ART音乐节,concert
方书剑,2019-05-26,19:30,上海,我的遗愿清单,stage
高杨,2019-11-09,19:30,上海,长腿叔叔,stage
仝卓,2019-09-29,19:30,深圳,爱我中华文艺晚会,concert
周深,2019-06-22,19:30,深圳,深空间,concert
阿云嘎,2019-12-31,19:30,上海,梦圆东方2020跨年盛典,concert
洪之光,2019-04-11,19:30,北京,东方歌舞一枝花,concert
龚子棋,2019-09-20,19:00,长春,致敬祖国交响演唱会,concert
方书剑,2019-08-10,19:30,深圳,信,stage
翟李朔天,2019-10-13,19:30,上海,邂逅回忆,concert
周深,2019-05-18,19:30,上海,深龄其境,concert
郑云龙,2019-04-11,19:30,上海,信,stage
丁辉,2019-03-09,14:30,上海,暗恋桃花源,stage
李文豹,2019-11-11,19:30,上海,春韵江南,concert
陈博豪,2019-08-11,19:30,杭州,你眼里的蓝,concert
方书剑,2019-09-07,19:30,宁波,我的遗愿清单,stage
龚子棋,2019-08-24,19:30,上海,信,stage
翟李朔天,2019-04-18,19:30,天津,声入人心巡演,concert
丁辉,2019-08-23,19:30,杭州,我的遗愿清单,stage
翟李朔天,2019-08-24,19:30,长春,声动春城,concert
丁辉,2019-06-30,14:30,上海,幺幺洞捌,stage
丁辉,2019-06-28,19:30,上海,幺幺洞捌,stage
张超,2019-04-18,19:30,天津,声入人心巡演,concert
高天鹤,2019-08-31,19:30,宁波,我爱宁波大型歌会,concert
王凯,2019-11-08,19:00,哈尔滨,常思思独唱音乐会,concert
廖佳琳,2019-11-23,19:30,重庆,声入山城,concert
高天鹤,2019-12-31,19:30,海口,跨年演唱会,concert
金天泽,2019-10-12,19:30,北京,邂逅回忆,concert
丁辉,2019-03-17,14:30,上海,暗恋桃花源,stage
余笛,2019-05-23,18:30,天津,南开大学力量之声音乐分享会,concert
洪之光,2019-05-26,19:30,无锡,声入人心巡演,concert
张超,2019-05-11,19:30,长沙,声入人心巡演,concert
刘彬濠,2019-11-23,19:30,上海,帅小伙的蔬果店,stage
郑云龙,2019-05-03,19:30,上海,漫长的告白,stage
贾凡,2019-05-28,19:30,南京,声入人心巡演,concert
鞠红川,2019-04-26,19:30,青岛,声入人心巡演,concert
金天泽,2019-08-14,19:30,上海,你眼里的蓝,concert
龚子棋,2019-04-27,14:30,上海,信,stage
方书剑,2019-06-16,14:30,西安,我的遗愿清单,stage
郑云龙,2019-01-19,14:00,上海,谋杀歌谣,stage
廖佳琳,2019-08-10,19:30,南京,你眼里的蓝,concert
丁辉,2019-12-27,19:30,杭州,长腿叔叔,stage
郑云龙,2019-05-04,14:00,上海,漫长的告白,stage
代玮,2019-04-30,19:30,珠海,声入人心巡演,concert
刘彬濠,2019-04-22,19:30,上海,亦X不染,concert
贾凡,2019-05-03,19:30,成都,保利ART音乐节,concert
丁辉,2019-09-06,19:30,宁波,我的遗愿清单,stage
贾凡,2019-07-07,20:00,中山,筑梦湾区步步高·向经典致敬音乐会,concert
余笛,2019-04-23,19:30,上海,不说再见,concert
丁辉,2019-12-11,19:00,上海,曾经如是,stage
金天泽,2019-09-08,20:00,深圳,Cherish珍晰,concert
鞠红川,2019-04-16,19:30,北京,声入人心巡演,concert
高杨,2019-07-18,19:30,深圳,长腿叔叔,stage
金圣权,2019-05-19,19:30,纽约,我，堂吉诃德,stage
简弘亦,2019-02-19,19:00,海口,元宵乐舞换花节,concert
代玮,2019-05-03,19:30,成都,保利ART音乐节,concert
梁朋杰,2019-09-01,14:30,上海,泰爱你,stage
周深,2019-07-07,19:30,杭州,深空间,concert
马佳,2019-05-26,19:30,上海,云上之声,concert
李文豹,2019-04-30,19:30,武汉,亦X不染,concert
郑云龙,2019-11-10,19:30,上海,天猫双11狂欢夜,concert
张超,2019-05-22,19:30,厦门,声入人心巡演,concert
丁辉,2019-03-02,19:30,上海,暗恋桃花源,stage
阿云嘎,2019-07-14,19:30,成都,我们剧场见(GALA),concert
马佳,2019-05-22,19:30,厦门,声入人心巡演,concert
周深,2019-10-07,20:00,北京,好声音巅峰之夜,concert
金圣权,2019-08-19,19:30,合肥,来自纽约的情书,concert
丁辉,2019-09-07,19:30,宁波,我的遗愿清单,stage
翟李朔天,2019-05-22,19:30,厦门,声入人心巡演,concert
黄子弘凡,2019-08-07,-,婺源,LOHAS七夕音乐会,concert
刘彬濠,2019-11-21,19:30,上海,帅小伙的蔬果店,stage
郑云龙,2019-09-14,14:00,北京,德龄与慈禧,stage
仝卓,2019-04-30,19:30,珠海,声入人心巡演,concert
郑云龙,2019-09-20,19:30,上海,德龄与慈禧,stage
梁朋杰,2019-06-08,19:30,上海,泰爱你,stage
王晰,2019-11-27,20:00,成都,新歌首唱会,concert
高杨,2019-06-14,19:30,成都,你眼里的蓝,concert
洪之光,2019-04-27,19:30,北京,美丽中国,stage
陆宇鹏,2019-10-18,19:30,上海,音乐之声,stage
高杨,2019-07-10,19:30,北京,长腿叔叔,stage
郑云龙,2019-11-02,19:30,上海,摇滚年代,stage
郑云龙,2019-08-13,19:30,上海,漫长的告白,stage
刘彬濠,2019-07-27,19:30,长沙,亦X不染,concert
黄子弘凡,2019-09-20,19:00,长春,致敬祖国交响演唱会,concert
贾凡,2019-06-16,19:30,西安,你眼里的蓝,concert
高天鹤,2019-05-04,19:30,重庆,中国新生代·唱响经典,concert
郑云龙,2019-10-05,13:30,南京,森林音乐狂欢节,concert
方书剑,2019-09-15,19:30,厦门,我的遗愿清单,stage
高杨,2019-12-28,19:30,杭州,长腿叔叔,stage
高杨,2019-06-25,19:30,上海,长腿叔叔,stage
方书剑,2019-04-20,14:30,上海,信,stage
王凯,2019-09-27,19:30,北京,亦X不染,concert
丁辉,2019-12-17,19:00,上海,曾经如是,stage
阿云嘎,2019-04-16,19:30,北京,声入人心巡演,concert
黄子弘凡,2019-05-31,19:30,宁波,声入人心巡演,concert
龚子棋,2019-08-23,19:30,上海,信,stage
郑云龙,2019-09-11,19:30,北京,德龄与慈禧,stage
马佳,2019-01-28,19:30,北京,北京新春音乐会,concert
郑云龙,2019-07-19,19:30,上海,我们剧场见(GALA),concert
