artist,date,time,city,state,title,type
丁辉,2019-12-17,19:00,上海,上海,曾经如是,stage
龚子棋,2019-08-23,19:30,上海,上海,信,stage
郑云龙,2019-09-11,19:30,北京,北京,德龄与慈禧,stage
方书剑,2019-10-12,19:30,天津,天津,我的遗愿清单,stage
丁辉,2019-10-07,14:30,上海,上海,暗恋桃花源,stage
翟李朔天,2019-07-20,14:30,上海,上海,梵高,stage
方书剑,2019-09-01,14:30,成都,四川,信,stage
高杨,2019-07-27,19:30,广州,广东,长腿叔叔,stage
龚子棋,2019-08-25,19:30,上海,上海,信,stage
龚子棋,2019-08-22,19:30,上海,上海,信,stage
刘彬濠,2019-11-30,14:30,上海,上海,帅小伙的蔬果店,stage
方书剑,2019-09-06,19:30,宁波,浙江,我的遗愿清单,stage
方书剑,2019-08-17,19:30,无锡,江苏,信,stage
丁辉,2019-09-22,14:30,上海,上海,暗恋桃花源,stage
陆宇鹏,2019-07-18,19:30,上海,上海,梵高,stage
金圣权,2019-05-18,19:30,纽约,美国,我，堂吉诃德,stage
丁辉,2019-04-20,19:30,上海,上海,暗恋桃花源,stage
方书剑,2019-07-25,19:30,青岛,山东,我的遗愿清单,stage
方书剑,2019-08-06,19:30,北京,北京,我的遗愿清单,stage
丁辉,2019-06-22,19:30,上海,上海,幺幺洞捌,stage
郑云龙,2019-09-14,19:30,北京,北京,德龄与慈禧,stage
丁辉,2019-09-28,14:30,上海,上海,暗恋桃花源,stage
洪之光,2019-11-30,19:30,杭州,浙江,九九艳阳天,stage
翟李朔天,2019-05-11,19:30,合肥,安徽,深夜食堂,stage
方书剑,2019-08-09,19:30,深圳,广东,信,stage
高杨,2019-11-10,19:30,上海,上海,长腿叔叔,stage
丁辉,2019-06-16,19:30,上海,上海,幺幺洞捌,stage
翟李朔天,2019-04-12,19:30,上海,上海,深夜食堂,stage
梁朋杰,2019-08-31,19:30,上海,上海,泰爱你,stage
方书剑,2019-10-13,19:30,天津,天津,我的遗愿清单,stage
丁辉,2019-10-18,19:30,重庆,重庆,我的遗愿清单,stage
丁辉,2019-03-16,19:30,上海,上海,暗恋桃花源,stage
方书剑,2019-08-14,19:30,杭州,浙江,我的遗愿清单,stage
刘彬濠,2019-11-23,14:30,上海,上海,帅小伙的蔬果店,stage
龚子棋,2019-04-25,19:30,上海,上海,信,stage
丁辉,2019-03-07,19:30,上海,上海,暗恋桃花源,stage
郑云龙,2019-01-18,19:30,上海,上海,谋杀歌谣,stage
郑云龙,2019-11-03,19:30,上海,上海,摇滚年代,stage
洪之光,2019-12-01,19:30,杭州,浙江,九九艳阳天,stage
翟李朔天,2019-06-07,19:30,上海,上海,泰爱你,stage
郑云龙,2019-05-03,14:00,上海,上海,漫长的告白,stage
金圣权,2019-11-27,19:30,上海,上海,帅小伙的蔬果店,stage
高杨,2019-07-28,19:30,广州,广东,长腿叔叔,stage
丁辉,2019-07-09,19:30,北京,北京,长腿叔叔,stage
丁辉,2019-10-29,17:30,乌镇,浙江,幺幺洞捌,stage
梁朋杰,2019-11-22,19:30,上海,上海,帅小伙的蔬果店,stage
金圣权,2019-11-21,19:30,上海,上海,帅小伙的蔬果店,stage
